utilisateur,commentaire,date,service,type_commande,pouce_leve
bernardGUILHEMJO,"martin a été d'une aide précieuse. Disponible, il a répondu à mes attentes concernant mon funnel. Je le recommande sans hésiter.",25 janv. 2025 à 07:05,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
lyes_ihabarchen,"Martin est très professionnel, à l’écoute répond toujours présent, travail très propre",17 janv. 2025 à 12:47,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci !,24 déc. 2024 à 21:12,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,top,10 juil. 2024 à 22:32,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci !,6 juil. 2024 à 23:19,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
Marie_Santos,Commande livrée,4 juil. 2024 à 16:03,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Top !,4 juil. 2024 à 03:10,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci Martin!,1 juin 2024 à 14:23,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
Flocha21110,"Excellent travail. Je suis très satisfaite du résultat final et de votre professionnalisme tout au long du projet. Votre attention aux détails et votre engagement sont vraiment appréciables. Toutefois, j'ai trouvé que le délai de réalisation était un peu plus long que ce à quoi je m'attendais. Je comprends que des imprévus peuvent survenir, mais peut-être pourrions-nous envisager une meilleure gestion du temps et une plus grande réactivité pour d'éventuels futurs projets. Merci encore pour votre travail.",27 mai 2024 à 07:39,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
KevinThea,Merci pour la réactivité martin !,16 avr. 2024 à 14:10,https://comeup.com/fr/service/235530/creer-votre-tunnel-de-vente-avec-systeme-io-clickfunnels-ou-kajabi,COMMANDE PERSONNALISÉE,Oui
